Country,Code,Year,Economic growth: the rate of change of real GDP,Capital investment as percent of GDP,Exchange rate: local currency units per U.S. dollar,Unemployment rate,"Terms of trade, base year = 2000",Government spending as percent of GDP,Economic growth forecast,"External debt, percent of Gross National Income","Internet users, percent of population","Oil reserves, billion barrels",Crop production index (2004-2006 = 100),"Banking system capital, percent of assets",Stock market capitalization as percent of GDP,High technology exports,Percent urban population,Annual HPI
China,CHN,2009,9.4,45.36,6.83,4.72,91.1,14.75,9.4,8.92,28.9,16,116.8,5.6,70.04,359273.92,47.88,94.76
China,CHN,2010,10.64,46.56,6.77,4.53,82.05,14.59,10.56,12.25,34.3,20.35,120.5,6.1,66.17,474521.83,49.23,101.86
China,CHN,2011,9.55,46.66,6.46,4.55,79.05,15.24,9.5,14.09,38.3,20.35,126.7,6.4,45.18,540194.67,50.51,104.2
China,CHN,2012,7.86,46.23,6.31,4.57,79.76,15.76,7.9,13.49,42.3,20.35,131.3,6.5,43.33,593894.38,51.76,103.66
China,CHN,2013,7.77,46.4,6.2,4.59,80.65,15.88,7.8,15.6,45.8,23.72,134.1,6.7,41.26,655996.29,53.01,113.06
China,CHN,2014,7.42,45.82,6.14,4.61,82.95,15.82,7.3,16.95,47.9,24.38,136.3,7.2,57.32,653870.43,54.26,109.16
China,CHN,2015,7.04,43.23,6.23,4.63,92.53,16.22,6.9,12.1,50.3,24.65,141.2,8.44,74.02,652237.41,55.5,108.84
China,CHN,2016,6.85,42.63,6.64,4.53,92.33,16.36,6.85,12.64,53.2,25.13,144.2,8.1,65.17,594551.83,56.74,119.21
China,CHN,2017,6.95,43.01,6.76,4.44,87.29,16.32,6.95,13.86,54.3,25.62,148.9,8.583571429,70.76,654187.63,57.96,125.16
China,CHN,2018,6.75,43.79,6.62,4.28,84.62,16.54,6.75,14.17,59.58055556,25.63,152.7916667,8.962142857,45.52,731890.58,59.15,134.17
China,CHN,2019,6.11,42.67866667,6.91,4.32,88.07866667,16.91933333,6.11,14.78,62.71222222,25.93,156.6833333,9.340714286,59.37,759591.8827,60.31,139.24
India,IND,2009,7.86,40.11,48.41,5.57,95.01,11.46,8.48,19.22,5.12,5.62,112.8,7,97.36,11347.43,30.59,89.42
India,IND,2010,8.5,40.22,45.73,5.64,93.47,11.01,10.26,17.52,7.5,5.62,124.9,7.1,97.39,10778.73,30.93,103.97
India,IND,2011,5.24,39.59,46.67,5.64,89.99,11.08,6.64,18.51,10.07,5.68,134.1,6.7,55.25,14546.21,31.28,131.27
India,IND,2012,5.46,38.35,53.44,5.65,90.08,10.68,5.46,21.74,12.58,5.61,136.2,6.97,69.12,13927.18,31.63,164.22
India,IND,2013,6.39,34.02,58.6,5.67,92.45,10.3,6.39,23.3,15.1,5.48,141.7,6.92,61.34,17965.37,32,180.75
India,IND,2014,7.41,34.27,61.03,5.61,93.82,10.44,7.41,22.7,21,5.64,144.4,7.09,76.42,18344.92,32.38,211.29
