Country,Code,Year,Economic growth: the rate of change of real GDP,Capital investment as percent of GDP,Exchange rate: local currency units per U.S. dollar,Unemployment rate,"Terms of trade, base year = 2000",Government spending as percent of GDP,Economic growth forecast,"External debt, percent of Gross National Income","Internet users, percent of population","Oil reserves, billion barrels",Crop production index (2004-2006 = 100),"Banking system capital, percent of assets",Stock market capitalization as percent of GDP,High technology exports,Percent urban population,Annual HPI,"Gross Domestic Product, billions of 2010 U.S. dollars",Household consumption as percent of GDP,"Household debt to GDP, in percent",Inflation: percent change in the Consumer Price Index,"Imports of goods and services, billion USD","Income, profits, and capital gains taxes: percent of revenue","New commercial vehicle sales, numbers per year",Banking system z-scores
China,CHN,2009,9.4,45.36,6.83,4.72,91.1,14.75,9.4,8.92,28.9,16.0,116.8,5.6,70.04,359273.92,47.88,94.76,5502.0,35.33,23.5,-0.7,1042.53,24.56,3313479,17.13
China,CHN,2010,10.64,46.56,6.77,4.53,82.05,14.59,10.56,12.25,34.3,20.35,120.5,6.1,66.17,474521.83,49.23,101.86,6087.2,34.33,27.2,3.2,1432.42,23.11,4304142,19.17
China,CHN,2011,9.55,46.66,6.46,4.55,79.05,15.24,9.5,14.09,38.3,20.35,126.7,6.4,45.18,540194.67,50.51,104.2,6668.5,34.92,27.7,5.6,1825.4,24.9,4032698,18.58
China,CHN,2012,7.86,46.23,6.31,4.57,79.76,15.76,7.9,13.49,42.3,20.35,131.3,6.5,43.33,593894.38,51.76,103.66,7192.7,35.39,29.7,2.6,1943.22,25.96,3811195,19.44
China,CHN,2013,7.77,46.4,6.2,4.59,80.65,15.88,7.8,15.6,45.8,23.72,134.1,6.7,41.26,655996.29,53.01,113.06,7751.4,35.83,33.1,2.6,2119.38,28.27,4056349,19.84
China,CHN,2014,7.42,45.82,6.14,4.61,82.95,15.82,7.3,16.95,47.9,24.38,136.3,7.2,57.32,653870.43,54.26,109.16,8326.9,36.71,35.7,1.9,2241.29,19.88,3791324,20.51
China,CHN,2015,7.04,43.23,6.23,4.63,92.53,16.22,6.9,12.1,50.3,24.65,141.2,8.44,74.02,652237.41,55.5,108.84,8913.3,37.77,39.0,1.4,2003.26,20.64,3451263,23.0
China,CHN,2016,6.85,42.63,6.64,4.53,92.33,16.36,6.85,12.64,53.2,25.13,144.2,8.1,65.17,594551.83,56.74,119.21,9523.8,38.67,44.6,2.0,1944.48,21.23,3651273,21.19
China,CHN,2017,6.95,43.01,6.76,4.44,87.29,16.32,6.95,13.86,54.3,25.62,148.9,8.583571429,70.76,654187.63,57.96,125.16,10185.3,38.54,48.8,1.6,2208.5,19.1,4160583,22.93
China,CHN,2018,6.75,43.79,6.62,4.28,84.62,16.54,6.75,14.17,59.58055556,25.63,152.79166669999998,8.962142857,45.52,731890.58,59.15,134.17,10873.0,38.52,52.6,2.1,2548.88,19.56555556,4370795,23.46305556
